sale_date,store_region,genre,title,author,format,unit_price,quantity
2026-03-01,Budapest,Fiction,The Last Harbor,Anna Varga,Paperback,18.90,12
2026-03-01,Debrecen,Science,Practical Astronomy,Peter Szabo,Hardcover,29.50,5
2026-03-02,Szeged,Children,Forest of Clocks,Eszter Farkas,Paperback,14.20,9
2026-03-02,Gyor,Business,Lean Teams in Practice,Daniel Kovacs,Ebook,21.00,14
2026-03-03,Budapest,History,Danube Empires,Julia Nemeth,Hardcover,32.00,4
2026-03-03,Pecs,Fiction,Winter Station,Mark Horvath,Paperback,17.50,11
2026-03-04,Debrecen,Fantasy,The Glass Falcon,Levente Toth,Hardcover,24.90,8
2026-03-04,Szeged,Science,AI for Everyone,Reka Balogh,Ebook,19.00,16
2026-03-05,Gyor,Children,Tiny Inventors,Agnes Molnar,Paperback,13.50,10
2026-03-05,Budapest,Business,Metrics That Matter,David Kiss,Hardcover,27.00,7
2026-03-06,Pecs,Fiction,Riverlight,Noemi Lakatos,Ebook,15.00,18
2026-03-06,Debrecen,History,Kings of the Plain,Andras Papp,Paperback,22.40,6
2026-03-07,Szeged,Fantasy,Dragon Market,Zsofia Simon,Paperback,16.80,13
2026-03-07,Gyor,Science,Climate by Numbers,Mate Hegedus,Hardcover,30.00,5
2026-03-08,Budapest,Children,The Moon Bicycle,Kata Biro,Ebook,11.50,20
2026-03-08,Pecs,Business,Remote Ops Playbook,Bence Fodor,Paperback,23.90,9
2026-03-09,Debrecen,Fiction,Salt and Cedar,Lilla Takacs,Hardcover,26.50,6
2026-03-09,Szeged,Science,Biohacking Basics,Nora Vida,Paperback,20.00,7
2026-03-10,Gyor,Fantasy,Keeper of Embers,Adam Fekete,Ebook,14.80,17
2026-03-10,Budapest,History,Bridges of Europe,Emese Juhasz,Paperback,21.70,8
2026-03-11,Pecs,Children,The Little Telescope,Orsolya Feher,Hardcover,19.90,6
2026-03-11,Debrecen,Business,Product Strategy Maps,Tamas Vass,Paperback,25.40,10
2026-03-12,Szeged,Fiction,Blue Tram at Dawn,Sara Illes,Ebook,12.90,19
2026-03-12,Gyor,Science,Data Stories,Miklos Barna,Paperback,18.60,11
